title_author,text_stemmered
Tree and Leaf de John Ronald Reuel Tolkien,"tree leaf john ronald reuel tolkien literari studi collect ""the two work on fairy-stori leaf niggl first brought togeth form book tree leaf 1964 new edit third element ad poem mythopoeia make myth ""--prefac"
Partners in Crime de Agatha Christie,partner crime agatha christi beresford tommi fictiti charact famous volum tommi & tuppenc link short stori reissu new look coincid brand new seri tommi & tuppenc bbc movi tommi tuppenc beresford restless adventur ask take blunt intern detect agenc leapt chanc triumphant recoveri pink pearl intrigu case kept come way stab sunningdal golf cours cryptic messag person column newspap even box poison chocol
Murder in Mesopotamia de Agatha Christie,murder mesopotamia agatha christi mysteri archaeologist wife murder shore river tigri iraq clear ami leatheran someth sinist go hassanieh dig iraq someth associ presenc love louis wife celebr archaeologist dr leidner day time hercul poirot due drop excav site louis suffer terrifi hallucin tension within group becom almost unbear poirot might late
"The Lord of the Rings, the Return of the King de Jude Fisher",lord ring return king jude fisher imaginari war battl visual guid third lord ring movi trilog large-format full-colour guid charact place landscap artefact battl costum seen film featur imag inform text special commiss extra
All Families are Psychotic de Douglas Coupland,famili psychot dougla coupland dysfunct famili eve next space shuttl mission divid famili come togeth warm witti wise famili psychot coupland top form irresist hilari uniqu wonder independ sunday cheap motel hour cape canaver janet drummond take medic rapid talli whereabout children wade spent night jail suicid bryan due arriv moment vowel-fre girlfriend shw sarah 'a bolt lightn frozen midflash -- orlando star friday shuttl mission janet ex-husband trophi wife also town janet spend moment contempl famili went wrong it?
Death in the Clouds de Agatha Christie,death cloud agatha christi mysteri woman kill poison dart enclos confin commerci passeng plane seat 9 hercul poirot ideal place observ fellow air passeng right sat pretti young woman clear infatu man opposit ahead seat 13 sat countess poorly-conc cocain habit across gangway seat 8 detect writer troubl aggress wasp poirot yet realiz behind seat 2 sat slump lifeless bodi woman
Appointment with Death de Agatha Christie,appoint death agatha christi mysteri repugn amercian widow kill trip petra among tower red cliff petra like monstrous swollen buddha sat corps mrs boynton tini punctur mark wrist sign fatal inject kill 24 hour avail solv mysteri hercul poirot recal chanc remark overheard back jerusalem you see got killed? mrs boynton inde detest woman ever met
Hallowe'en Party de Agatha Christie,hallowe'en parti agatha christi poirot hercul fictiti charact one believ littl girl insist wit murder turn drown hercul poirot set catch killer
Hercule Poirot's Christmas de Agatha Christie,hercul poirot christma agatha christi christma stori night christma cruel tyrann filthy-rich simeon lee found lock bedroom throat cut hercul poirot must put deduct power test solv one chill cases--and prevent clever killer spill blood
The Big Four de Agatha Christie,big four agatha christi mysteri ruthless intern cartel seek world domin frame doorway poirot bedroom stood uninvit guest coat head foot dust man gaunt face stare moment sway fell he? suffer shock exhaustion? signific figur 4 scribbl sheet paper? poirot find plung world intern intrigu risk life uncov truth number four
The Thirteen Problems de Agatha Christie,thirteen problem agatha christi mysteri tuesday night club venu local challeng miss marpl solv recent crime one tuesday even group gather miss marpl hous convers turn unsolv crime case disappear bloodstain thief commit crime twice messag death-b poison man read heap fish strang case invis spiritualist warn blue geranium meant death pit wit power deduct tuesday night club
They Do it with Mirrors de Agatha Christie,mirror agatha christi fiction man shot juvenil reform home - someon els die miss marpl sens danger visit friend live victorian mansion doubl rehabiliti centr delinqu fear confirm youth fire revolv administr lewi serrocold neither injur mysteri visitor mr gilbrandsen less fortun - shot dead simultan anoth part build pure coincidence? miss marpl think vow discov real reason mr gilbrandsen visit
A Murder is Announced de Agatha Christie,"murder announc agatha christi mysteri villag chip cleghorn amaz advertis local paper read ""a murder announc take place friday octob 29th littl paddock 6 30pm unabl resist crowd begin gather hous appoint time man kill look like attempt robberi miss marpl becom involv"
The Mirror Crack'd from Side to Side de Agatha Christie,mirror crack'd side side agatha christi marpl jane fictiti charact one minut silli heather badcock gabbl movi idol glamor marina gregg next heather suffer massiv seizur dead poison realli intended? marina frozen express suggest wit someth horrif other search materi evid jane marpl conduct differ investig human natur
Mrs McGinty's Dead de Agatha Christie,mrs mcginti dead agatha christi belgian old widow brutal kill parlour cottag mrs mcginti die brutal blow back head suspicion fell immedi shifti lodger jame bentley whose cloth reveal trace victim blood hair yet someth amiss bentley look like murder poirot believ could save man gallow - realis life great danger
Taken at the Flood de Agatha Christie,taken flood agatha christi fiction week marri attract young widow gordon cload tragic kill bomb blast london blitz overnight former mrs underhay find sole possess cload famili fortun short afterward hercul poirot receiv visit dead man sister-in-law claim warn spirit mrs underhay first husband still aliv poirot suspicion ask find miss person guid spirit world yet mystifi poirot woman true motiv approach him&
The Hollow de Agatha Christie,hollow agatha christi mysteri luci angkatel invit hercul poirot lunch teas great detect guest stage mock murder besid swim pool unfortun victim play scene real blood drip water john christow gasp one final word henrietta confus gun sink bottom pool poirot enquiri reveal complex web romant attach seem everyon drama suspect victim love
Third Girl de Agatha Christie,third girl agatha christi belgian perplex girl think might kill someon three singl girl share london flat first work secretari second artist third came poirot help disappear convinc murder rumour revolv flick-kniv blood stain without hard evid would take poirot tenac establish whether third girl guilti innoc insan
The Secret of Chimneys de Agatha Christie,secret chimney agatha christi battl superintend fictiti charact young drifter find bargain agre deliv parcel english countri hous
The Lord of the Rings de J. R. R. Tolkien,lord ring j r r tolkien baggin frodo fictiti charact sauron gather ring power - mean abl rule world need rule ring fallen hand hobbit bilbo baggin frodo baggin entrust foil sauron plan
The Metaphysical Club de Louis Menand,metaphys club loui menand cambridg mass absorb narrat person social histori menand discuss metaphys club inform group met cambridg massachusett 1872 talk idea member includ oliv wendel holm jr william jame charl sander peirc 21 photo
Wilkins' Tooth de Diana Wynne Jones,wilkin tooth diana wynn jone busi back limitedreveng arrang price accord task difficult task undertaken treasur hunt etc seem like marvel scheme time! frank jess set busi need money - pocket-money stop frank owe buster knell ten penc father put quick stop errand run tri someth bad instead? offer dread thing peopl dare do? pin notic potting-sh wait custom cours noth ever straightforward
Cut de Patricia McCormick,cut patricia mccormick emot problem fifteen-year old calli withdrawn speak anyon - includ therapist sea pine known guest sick mind - residenti treatment facil parent doctor send discov cut stori unfold primarili dramat monologu gradual reveal famili turmoil led self-destruct behaviour
The Lord of the Rings de Gary Russell,lord ring gari russel charact characterist motion pictur complet access artwork creat five-year period guid illustr creativ develop return king contain 600 imag earliest pencil sketch conceptu draw magnific paint sculptur digit imageri shape look film contribut artist includ john howe alan lee artist inspir peter jackson vision middle-earth work bring trilog big screen peter jackson provid afterword discuss import conceptu art film cover aspect eager await final enorm success trilog locat costum weaponri creatur artist creat divers element explain contribut develop film
The Lord of the Rings de John Ronald Reuel Tolkien,lord ring john ronald reuel tolkien fiction sinc first publish 1954 the lord ring book peopl treasur steep unrival magic otherworldli sweep fantasi touch heart young old alik well 100 million copi mani edit sold around world occasion collector edit becom prize valuabl item publish epic trilog releas film imag charact landscap becom eager sought much look movi base alan lee paint give centenari edit tolkien great work new relev ever-grow number fan
The Fellowship of the Ring de John Ronald Reuel Tolkien; Alan Lee,fellowship ring john ronald reuel tolkien alan lee baggin frodo fictiti charact tolkien classic fantasi quest save middle-earth--and basi peter jackson academi award -win film trilogy--i avail young reader edit book trilog avail individu togeth three-volum paperback box set
Lirael de Garth Nix,lirael garth nix fiction danger necromanc threaten unleash long-buri evil lirael princ sameth drawn battl save old kingdom reveal true destini suggest level secondari
Tales from the Perilous Realm de John Ronald Reuel Tolkien,"tale peril realm john ronald reuel tolkien fairi tale english never publish singl volum tolkien four novella ""farmer gile ham leaf niggl smith wootton major "" ""roverandom"" one book poem ""the adventur tom bombadil"" gather togeth fulli illustr set"
Breaking Open the Head de Daniel Pinchbeck,break open head daniel pinchbeck hallucinogen drug new the door percept 21st century? visionari journey cynic shaman brilliant young us writer
